Bin,fraction of sites
1616,0.002554
1617,0.002653
1618,0.002544
1619,0.00296
1620,0.002822
1621,0.002723
1622,0.002782
1623,0.002732
1624,0.00293
1625,0.002673
1626,0.002534
1627,0.002604
1628,0.002604
1629,0.002703
1630,0.002812
1631,0.003
1632,0.002614
1633,0.002574
1634,0.002445
1635,0.002633
1636,0.002643
1637,0.002554
1638,0.002881
1639,0.002525
1640,0.002525
1641,0.002772
1642,0.002396
1643,0.002554
1644,0.002713
1645,0.002871
1646,0.002614
1647,0.002663
1648,0.00294
1649,0.002742
1650,0.002396
1651,0.002495
1652,0.002376
1653,0.002554
1654,0.002554
1655,0.002534
1656,0.002435
1657,0.002465
1658,0.002376
1659,0.002307
1660,0.002257
1661,0.002406
1662,0.002465
1663,0.002257
1664,0.002495
1665,0.002247
1666,0.002544
1667,0.002356
1668,0.002386
1669,0.002861
1670,0.002624
1671,0.002386
1672,0.002406
1673,0.002515
1674,0.002673
1675,0.002742
1676,0.002485
1677,0.002435
1678,0.002584
1679,0.002336
1680,0.002554
1681,0.002188
1682,0.002257
1683,0.002059
1684,0.002109
1685,0.002188
1686,0.002089
1687,0.002
1688,0.002079
1689,0.002346
1690,0.002188
1691,0.00197
1692,0.00203
1693,0.002059
1694,0.002277
1695,0.002148
1696,0.002287
1697,0.002228
1698,0.002346
1699,0.00195
1700,0.002208
1701,0.002138
1702,0.002287
1703,0.002247
1704,0.002168
1705,0.002119
1706,0.002049
1707,0.002099
1708,0.00199
1709,0.001861
1710,0.002099
1711,0.001931
1712,0.00197
1713,0.002307
1714,0.002188
1715,0.00201
1716,0.001782
1717,0.002178
1718,0.002039
1719,0.002
1720,0.002109
1721,0.002168
1722,0.001752
1723,0.002158
1724,0.002119
1725,0.002119
1726,0.001921
1727,0.002188
1728,0.001891
1729,0.00195
1730,0.001851
1731,0.00194
1732,0.001703
1733,0.002148
1734,0.002079
1735,0.00194
1736,0.00195
1737,0.001851
1738,0.001911
1739,0.001822
1740,0.001762
1741,0.00199
1742,0.002089
1743,0.00203
1744,0.001841
1745,0.001782
1746,0.001772
1747,0.00199
1748,0.00201
1749,0.00199
1750,0.001782
1751,0.00203
1752,0.00197
1753,0.002148
1754,0.001822
1755,0.001911
1756,0.002119
1757,0.001792
1758,0.001861
1759,0.00196
1760,0.002237
1761,0.001881
1762,0.001683
1763,0.001752
1764,0.001861
1765,0.001921
1766,0.00197
1767,0.001772
1768,0.00198
1769,0.001693
1770,0.001713
1771,0.001931
1772,0.002069
1773,0.001643
1774,0.001802
1775,0.001574
1776,0.001693
1777,0.001673
1778,0.001683
1779,0.002079
1780,0.001861
1781,0.001891
1782,0.001634
1783,0.002
1784,0.001673
1785,0.001762
1786,0.001584
1787,0.001653
1788,0.001515
1789,0.001832
1790,0.001742
1791,0.001891
1792,0.001851
1793,0.001693
1794,0.001772
1795,0.001792
1796,0.001752
1797,0.001881
1798,0.001584
1799,0.001723
1800,0.001812
1801,0.001693
1802,0.00198
1803,0.001723
1804,0.001812
1805,0.001554
1806,0.001733
1807,0.001624
1808,0.001594
1809,0.001693
1810,0.001693
1811,0.001653
1812,0.001544
1813,0.001624
1814,0.001812
1815,0.001535
1816,0.001822
1817,0.001782
1818,0.001891
1819,0.001643
1820,0.001723
1821,0.001802
1822,0.001703
1823,0.001495
1824,0.001535
1825,0.001653
1826,0.001822
1827,0.001643
1828,0.001544
1829,0.001634
1830,0.001703
1831,0.001495
1832,0.001614
1833,0.001535
1834,0.001653
1835,0.001703
1836,0.001752
1837,0.001683
1838,0.001683
1839,0.001614
1840,0.001643
1841,0.001624
1842,0.001544
1843,0.001386
1844,0.001663
1845,0.001544
1846,0.001465
1847,0.001574
1848,0.001475
1849,0.001782
1850,0.001742
1851,0.001772
1852,0.001475
1853,0.001386
1854,0.001604
1855,0.001505
1856,0.001376
1857,0.001703
1858,0.001366
1859,0.001742
1860,0.001683
1861,0.001495
1862,0.001703
1863,0.001327
1864,0.001554
1865,0.001634
1866,0.001406
1867,0.001416
1868,0.001535
1869,0.001574
1870,0.001594
