"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk"
"160","SL18-UCONN-162",160,"2019","162","GOM","162","5_30_2019",124,NA,"SL18-OI-2-FG2","OI","SL18-LD-1-MG2","LD","SL18-OI-2-F2 / SL18-LD-1-M2","2",1,"2","TBD","5",2,1.02,0.9,1.133333333,10.03,0.1,20,"ES"
"161","SL18-UCONN-163",161,"2019","163","GOM","163","5_30_2019",124,NA,"SL18-OI-2-FG2","OI","SL18-LD-2-MG1","LD","SL18-OI-2-F2 / SL18-LD-2-M1","2",1,"1","TBD","5",1,0.22,0.695,0.316546763,12.29,0.03,0,"ES"
"162","SL18-UCONN-164",162,"2019","164","GOM","164","5_30_2019",124,NA,"SL18-OI-2-FG2","OI","SL18-LL-9-MG3","LL","SL18-OI-2-F2 / SL18-LL-9-M3","1",1,"1","TBD","5",1,0.12,0.8,0.15,13.69,0.02,20,"ES"
"164","SL18-UCONN-166",164,"2019","166","GOM","166","5_29_2019",123,NA,"SL18-OI-2-FG2","OI","SL18-SF-17-MG2","SF","SL18-OI-2-F2 / SL18-SF-17-M2","2",1,"2","TBD","1",1,0.13,0.89,0.146067416,9.05,0.01,0,"ES"
"165","SL18-UCONN-167",165,"2019","167","GOM","167","5_29_2019",123,NA,"SL18-OI-2-FG3","OI","SA18-CB-4-MG1","CB","SL18-OI-2-F3 / SA18-CB-4-M1","1",1,"2","TBD","9",1,0.57,0.93,0.612903226,13.27,0.08,220,"ES"
"166","SL18-UCONN-168",166,"2019","168","GOM","168","5_29_2019",123,NA,"SL18-OI-2-FG3","OI","SL18-LD-10-MG1","LD","SL18-OI-2-F3 / SL18-LD-10-M1","1",1,"2","TBD","4",1,0.12,0.81,0.148148148,13.47,0.02,0,"ES"
"167","SL18-UCONN-169",167,"2019","169","GOM","169","5_29_2019",123,NA,"SL18-OI-2-FG3","OI","SL18-NL-2-MG2","NL","SL18-OI-2-F3 / SL18-NL-2-M2","2",1,"2","TBD","4",1,0.42,0.82,0.512195122,13.28,0.06,200,"ES"
"17","SL18-UCONN-17",17,"2019","17","GOM","17","5_30_2019",124,NA,"SL18-LD-1-FG1","LD","SL18-NL-2-MG2","NL","SL18-LD-1-F1 / SL18-NL-2-M2","2",1,"3","TBD","1",3,1.95,0.87,2.24137931,8.62,0.17,340,"ES"
"168","SL18-UCONN-170",168,"2019","170","GOM","170","5_29_2019",123,NA,"SL18-OI-2-FG3","OI","SL18-NL-9-MG1","NL","SL18-OI-2-F3 / SL18-NL-9-M1","2",1,"2","TBD","8",2,0.67,0.78,0.858974359,12.18,0.08,160,"ES"
"169","SL18-UCONN-171",169,"2019","171","GOM","171","5_29_2019",123,NA,"SL18-OI-2-FG3","OI","SL18-SF-15-MG1","SF","SL18-OI-2-F3 / SL18-SF-15-M1","1",1,"2","TBD","7",1,0.2,0.75,NA,NA,NA,0,"ES"
