pedigree,gpSex,WWP,DWpM,PDW,BDns,BLen,BMax,BThk,SLen,SDia
SL18-LD-3-FG2xSL18-SF-17-MG3,NA,-0.128137366,-0.030494831,9.41E-10,-21.03063216,0.020813216,0.413933075,0.308035643,-0.143059915,0.193839858
SL18-LD-4-FG1xSA18-CB-2-MG1,NA,-0.184052506,-0.043428341,2.71E-09,-20.85346055,0.024019497,0.191145235,-0.139569179,-0.087258915,0.135874076
SL18-LD-4-FG1xSL18-NL-3-MG2,NA,-0.289567502,-0.060681946,2.15E-09,-17.38961586,0.007673028,-0.054085767,-0.137463882,0.035574072,0.166177443
SL18-LD-4-FG2xSL18-LL-9-MG1,NA,-0.394399481,-0.080623485,3.41E-09,-91.72432334,0.027651559,-0.252445,0.05446734,-0.158087312,0.200776267
SL18-LD-4-FG2xSL18-SF-15-MG2,NA,0.080797324,0.006175792,4.79E-10,-19.72255899,0.002199226,-0.172371966,0.083720649,-0.011006612,0.200666918
SL18-LD-4-FG3xSL18-SF-17-MG1,NA,-0.103536404,-0.010968281,3.05E-09,-65.10003583,0.015467422,0.006756534,0.256319906,0.085792806,-0.097907646
SL18-LD-5-FG1xSA18-CB-10-MG1,NA,0.030493387,-0.004048829,-1.72E-10,-20.52093397,-0.002240485,-0.240187708,0.092359001,-0.164773828,0.357397244
SA18-CB-7-FG1xSL18-LL-9-MG3,NA,0.159362489,0.041117818,-1.16E-09,-40.41517661,0.020714525,-0.061753575,-0.087764004,0.552286113,0.002041597
SL18-LD-9-FG2xSL18-SF-13-MG3,NA,-0.247188231,-0.037662886,3.71E-09,-47.9028106,0.019667101,-0.053282316,0.120274327,0.158252849,0.39927117
SL18-LD-9-FG3xSL18-NL-7-MG1,NA,-0.315687687,-0.049004177,2.37E-09,-59.46800723,0.023752174,0.168917421,-0.07544116,0.306110661,0.505095838
SL18-LD-9-FG3xSL18-SF-17-MG1,NA,-0.114480068,-0.004895523,3.31E-09,-64.034983,0.028438633,0.355915858,0.106624732,-0.208079346,-0.12761488
SL18-LL-9-FG3xSL18-NL-9-MG1,NA,-0.449175483,-0.097630423,-7.78E-09,-37.22897153,0.004696092,0.160496817,0.524467912,0.248813516,0.041564853
SL18-NL-10-FG1xSA18-CB-4-MG3,NA,0.205489697,0.012908586,-4.86E-09,32.5924555,-0.052541074,-0.100621434,-0.384389344,-0.273465484,-0.378879087
SL18-NL-10-FG1xSL18-LD-2-MG1,NA,-0.08910152,-0.019435892,2.14E-09,21.76037583,-0.032349888,0.135407954,-0.174456911,0.155321014,0.223273283
SL18-LD-10-FG1xSA18-CB-1-MG2,NA,0.114763932,0.0186898,1.49E-09,4.063578753,0.028577998,0.091927364,0.26850311,-0.235866707,0.264763037
SL18-NL-10-FG1xSL18-OI-15-MG1,NA,0.309018246,0.053361999,-3.22E-09,73.06490698,-0.05007955,0.12298433,0.149264259,-0.347482641,-0.015259468
SL18-NL-10-FG1xSL18-OI-7-MG1,NA,0.139304514,0.01070357,-3.47E-09,111.7012705,-0.061996368,0.041766838,0.06876901,0.091542778,-0.033082992
SL18-NL-10-FG1xSL18-SF-13-MG1,NA,0.161769427,0.027281606,-1.69E-09,61.97465201,-0.038357067,-0.292519066,-0.337136201,-1.143013673,-1.339717935
SL18-NL-10-FG3xSL18-NL-3-MG2,NA,-0.384047106,-0.061042026,-4.54E-10,-7.810994205,-0.037169573,0.300403541,0.422333487,0.22205207,-0.352666533
SL18-NL-2-FG1xSA18-CB-1-MG2,NA,0.232668024,0.05080191,-1.37E-09,28.50434011,0.016166518,0.010668828,0.139879706,-0.315880497,-0.12117612
SL18-NL-2-FG1xSL18-LD-13-MG2,NA,-0.016412209,0.014491114,1.91E-09,30.20945108,-0.001649873,0.329159642,0.020569037,-0.115465056,-0.018221147
SL18-NL-2-FG1xSL18-SF-17-MG1,NA,0.043970165,0.032024289,3.51E-10,-23.80876184,0.009625556,0.410853823,0.198046952,0.113585069,-0.320702744
SL18-NL-2-FG3xSA18-CB-2-MG3,NA,-0.200642364,-0.037470361,-8.28E-10,-70.3023127,0.005648317,0.391810371,0.386164917,0.156756144,-0.08721977
SL18-NL-2-FG3xSA18-CB-4-MG1,NA,-0.097324657,-0.03631127,-3.99E-09,-60.56405603,-0.016591295,0.069460874,0.16836553,-0.266200786,-0.386120163
SL18-NL-2-FG3xSL18-LD-3-MG2,NA,-0.215212869,-0.049507233,-3.44E-10,-48.59846737,0.018251298,0.381355667,0.317514995,0.291469501,-0.126527674
SL18-NL-2-FG3xSL18-OI-16-MG1,NA,-0.090852234,-0.019735976,-1.51E-09,-10.64674541,-0.02991892,0.181044135,-0.00723713,0.034643971,-0.079017489
SL18-NL-3-FG1xSA18-CB-7-MG2,NA,0.227263724,0.068771828,-1.72E-10,8.454851722,0.005746429,0.061167441,0.010500502,0.397869162,0.20681165
SL18-NL-3-FG1xSL18-OI-11-MG2,NA,-0.092846733,-0.011020851,1.15E-09,-12.70426302,0.015224451,0.195111317,-0.307908846,0.384387167,0.008520488
SL18-NL-3-FG1xSL18-SF-13-MG2,NA,0.001302054,0.020014455,2.32E-09,12.46343745,0.009471375,-0.020492188,-0.022762105,0.06465273,0.335601653
SL18-NL-3-FG2xSL18-SF-17-MG2,NA,0.256201874,0.049306131,-2.51E-09,65.10907189,0.021931625,0.088803277,0.06077221,-0.101655089,0.31338715
SL18-NL-3-FG3xSA18-CB-2-MG2,NA,-0.049245681,-0.007661985,7.29E-11,-7.131514785,0.014971613,0.00548944,-0.280006632,0.057511601,0.128541173
SL18-LD-10-FG1xSL18-OI-18-MG1,NA,-0.257188597,-0.034451738,5.30E-09,-55.14320994,0.001899099,0.22263354,0.340568952,0.174514427,0.108959101
SL18-NL-6-FG1xSA18-CB-3-MG3,NA,0.486160104,0.076513176,-8.02E-09,129.5016464,0.018691773,0.185352651,-0.0429737,-0.029591699,0.106834823
SL18-NL-6-FG1xSA18-CB-7-MG2,NA,0.591315056,0.135067145,-6.03E-09,131.513979,-0.003948344,-0.028540635,0.12578365,0.310027598,0.438703662
SL18-NL-6-FG1xSL18-LD-1-MG2,NA,0.106142478,0.019007132,-3.02E-09,102.7195799,-0.010488612,-0.128605323,-0.117932299,0.009646756,-0.004067722
SL18-NL-6-FG1xSL18-LD-2-MG1,NA,0.132311933,0.040843346,-4.25E-10,102.5752015,0.001597045,-0.009571393,0.034841981,0.326725204,0.425539791
SL18-NL-6-FG1xSL18-LD-3-MG2,NA,0.243806314,0.042914465,-4.25E-09,112.2178089,0.01965457,0.007246213,0.267769221,0.293794253,0.100542344
SL18-NL-6-FG1xSL18-NL-2-MG1,NA,0.2460018,0.054446824,-6.08E-09,124.7916847,0.009443172,-0.02112683,0.619306465,0.37177453,0.142990446
