rownames,pedigree,Category,Isolate_Sorus,index,WWP,DWpM,PDW,BDns,BLen,BMax,BThk,SLen,SDia
SL18.SF.17.FG2xSL18.NC.1.MG1,SL18-SF-17-FG2xSL18-NC-1-MG1,SL19-UCONN-S14,#N/A,0.126029849,0.36174538,0.067433621,-0.008837393,2.602867089,0.093389497,0.017299135,0.087770181,0.319103255,0.010702155
SL18.CC.8.FG2xSL18.LD.9.MG1,SL18-CC-8-FG2xSL18-LD-9-MG1,SL19-UCONN-S201,Yes,0.175272305,0.134412996,0.066534594,0.042203117,-12.02690881,0.173562797,-0.124002433,0.066720849,-0.188174052,-0.088624246
SA18.CB.2.FG3xSL18.NC.9.MG1,SA18-CB-2-FG3xSL18-NC-9-MG1,SL19-UCONN-S147,#N/A,0.174408795,0.294325015,0.065088383,0.044232028,-3.368881027,-0.029403318,0.078787182,-0.189944887,0.46744657,-0.060121672
SL18.SF.17.FG3xSA18.CB.10.MG1,SL18-SF-17-FG3xSA18-CB-10-MG1,SL18-UCONN-192,#N/A,0.102169578,0.278062979,0.065062363,-0.027955149,2.0328125,0.040344717,0.181614088,0.219807971,0.083502401,0.254904316
SL18.OI.5.FG5xSA18.CB.7.MG3,SL18-OI-5-FG5xSA18-CB-7-MG3,SL19-UCONN-S104,#N/A,0.141867989,0.121080988,0.059020634,0.02382672,14.0175448,-0.208714243,-0.115844837,0.230873584,0.323932341,0.248777665
SL18.CC.3.FG1xSL18.OI.16.MG2,SL18-CC-3-FG1xSL18-OI-16-MG2,SL19-UCONN-S57,Yes,0.144850509,0.153563178,0.058683716,0.027483077,10.92243627,0.089739816,-0.276790264,-0.224710732,-0.271381596,-0.104733607
SL18.CC.11.FG3xSL18.NC.12.MG1,SL18-CC-11-FG3xSL18-NC-12-MG1,SL19-UCONN-S110,#N/A,0.057831236,0.241912349,0.056884904,-0.055938572,42.61217618,-0.090065683,-0.129076419,0.142650702,0.831375492,0.296225059
SL18.CC.5.FG1xSL18.JS.5.MG3,SL18-CC-5-FG1xSL18-JS-5-MG3,SL19-UCONN-S76,#N/A,0.086130964,0.209073737,0.055569748,-0.025008533,8.51789949,0.156076753,0.227394971,-0.441415439,-0.608658348,-0.38158336
SL18.OI.18.FG5xSL18.SF.15.MG2,SL18-OI-18-FG5xSL18-SF-15-MG2,SL18-UCONN-157,#N/A,0.080992395,0.297130408,0.055561775,-0.030131154,4.038939922,-0.053471609,0.162187046,0.305001143,0.426339717,-0.024636103
SL18.CC.6.FG3xSL18.OI.14.MG2,SL18-CC-6-FG3xSL18-OI-14-MG2,SL19-UCONN-S255,#N/A,0.133594877,0.251325032,0.051995883,0.029603111,-0.187636069,-0.221731416,-0.172116707,0.143184888,0.554019239,0.098160163
SA18.CB.5.FG6xSL18.CC.6.MG2,SA18-CB-5-FG6xSL18-CC-6-MG2,SL19-UCONN-S290,#N/A,0.132410121,0.237866165,0.050771079,0.030867963,-13.32980037,-0.265183753,-0.11133226,0.57523443,0.361491326,0.455672004
SL18.CC.3.FG1xSL18.JS.11.MG2,SL18-CC-3-FG1xSL18-JS-11-MG2,SL19-UCONN-S283,#N/A,0.106731084,0.228077911,0.050345659,0.006039766,9.334418527,0.112924176,-0.183423618,-0.111617499,0.447375897,0.189802645
SL18.NL.6.FG1xSL18.OI.15.MG1,SL18-NL-6-FG1xSL18-OI-15-MG1,SL18-UCONN-102,#N/A,0.02753027,0.351938586,0.050068134,-0.072605998,92.03231421,0.128711232,0.192690493,0.260253845,0.403480443,0.345016388
SL18.OI.15.FG1xSA18.CB.2.MG3,SL18-OI-15-FG1xSA18-CB-2-MG3,SL18-UCONN-125,#N/A,0.10098196,0.182729799,0.046655245,0.00767147,-10.34172829,-0.037177676,0.391483262,-0.082233044,-0.11753902,-0.034029527
SL18.OI.15.FG1xSA18.CB.2.MG3.1,SL18-OI-15-FG1xSA18-CB-2-MG3,SL18-UCONN-125,#N/A,0.10098196,0.182729799,0.046655245,0.00767147,-10.34172829,-0.037177908,0.391483067,-0.082233219,-0.117552472,-0.034037032
SL18.LD.10.FG2xSA18.CB.7.MG2,SL18-LD-10-FG2xSA18-CB-7-MG2,SL18-UCONN-11,#N/A,0.119562116,0.026389564,0.045597893,0.02836633,7.050229967,-0.009649112,0.239470857,0.502078981,-0.278205282,0.338939321
SL18.CC.1.FG2xSL18.OI.16.MG1,SL18-CC-1-FG2xSL18-OI-16-MG1,SL19-UCONN-S111,#N/A,0.079470306,0.274712629,0.045269941,-0.011069576,23.65232931,-0.157564444,-0.053275328,0.447916666,0.410560341,0.210808096
SL18.NL.3.FG3xSA18.CB.10.MG3,SL18-NL-3-FG3xSA18-CB-10-MG3,SL19-UCONN-S11,#N/A,0.062112398,-0.010034863,0.045053283,-0.027994167,5.441029106,-0.104743348,-0.187266635,-0.37904334,-0.216598749,-0.304005217
